,"Life expectancy at birth, total (years)","Lower secondary completion rate, total (% of relevant age group)","School enrollment, secondary (% net)",Expense (% of GDP),Compensation of employees (% of expense),Tax revenue (% of GDP),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),Labor force with intermediate education (% of total working-age population with intermediate education),Net lending (+) / net borrowing (-) (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)
95,80.990243902439,83.6506423950195,85.46939,12.2289567874848,0.9136789900665342,11.2715568117292,49.0719985961914,73.7539978027344,61.0074996948242,38.0371017456055,64.6239013671875,0.43231655575901,16.1,0.5
96,80.9926829268293,83.6506423950195,85.29882,12.3811758787187,0.9265850885338835,11.4196315179179,49.6710014343262,73.5552978515625,61.2098999023438,38.8699989318848,64.4532012939453,0.247525967372832,16.0,0.5
97,80.8926829268293,83.6506423950195,85.29882,12.1957091058601,0.9388039944705902,11.4646303639901,50.1769981384277,73.4419021606445,61.2830009460449,39.2988014221191,64.2192001342773,0.598317845555221,16.0,0.5
98,80.8926829268293,83.6506423950195,85.29882,12.1957091058601,0.9388039944705902,11.4646303639901,50.2309989929199,74.0659027099609,61.9143981933594,40.2616996765137,64.4712982177734,0.598317845555221,16.0,0.5
99,80.8926829268293,83.6506423950195,85.29882,12.1957091058601,0.9388039944705902,11.4646303639901,50.2229995727539,74.0659027099609,61.9143981933594,40.2616996765137,64.4712982177734,0.598317845555221,16.0,0.5
100,77.1873170731707,89.6042709350586,97.67064,31.4702564923413,2.7159824366469043,25.6328542408759,33.0180015563965,81.5628967285156,50.4081001281738,36.6516990661621,64.5473022460938,-3.42535784935257,14.3,0.7
101,77.3707317073171,89.6042709350586,96.30728333333333,30.7524046023788,2.685390325365958,25.9256185255342,32.5,81.5541000366211,50.5236015319824,36.2611999511719,65.0185012817383,-2.36745403310553,14.3,0.7
102,77.4731707317073,89.6042709350586,94.94392666666667,30.4215217875385,2.6478374095857764,26.5017165053619,33.0960006713867,80.1978988647461,50.8521995544434,32.7285003662109,63.293399810791,-1.66749919827636,14.3,0.7
103,77.619512195122,89.6042709350586,93.58057,29.9410336283303,2.654394661991619,26.3704068712661,33.1310005187988,81.572998046875,51.9108009338379,33.6292991638184,64.0662994384766,-1.55649265644165,14.3,0.7
104,77.7219512195122,89.6042709350586,93.23441,29.1907133417896,2.565641767338954,26.6438720568664,35.7150001525879,81.4375,52.2927017211914,33.6286010742188,63.6861000061035,-0.407252773656234,14.3,0.7
105,77.9731707317073,89.6042709350586,94.11793,29.7955737210637,2.5827085261915865,26.1441073426173,33.2239990234375,79.821403503418,50.8908996582031,31.5074005126953,62.7765007019043,-1.0809393689596,14.3,0.7
106,78.0756097560976,89.6042709350586,94.64411,27.5968057780271,2.5330102662010203,25.0293223311921,33.2849998474121,78.8768997192383,51.1879997253418,31.5937004089355,62.7220001220703,-0.22824758770076,14.3,0.7
107,78.1292682926829,89.6042709350586,96.34794,28.1404849640932,2.5129071743192215,24.3890651571372,33.007999420166,78.9720001220703,51.3478012084961,31.1578006744385,63.730598449707,-1.45437307654831,14.3,0.7
108,78.8780487804878,89.6042709350586,97.69044,27.0386702769392,2.352977245108733,24.7695486519257,33.7319984436035,80.1387023925781,52.029598236084,31.2751007080078,62.2397994995117,-0.177818386043783,14.8,0.2
109,78.9804878048781,89.6042709350586,97.54728,29.9079208457297,2.3772923026110395,24.7307745899207,35.1990013122559,79.5017013549805,53.2994003295898,33.622200012207,64.1153030395508,-2.75760101355449,14.7,0.5
110,79.380487804878,89.6042709350586,97.9871,27.3274765763037,2.341831423198113,24.5490486742334,35.1839981079102,78.6019973754883,53.1142997741699,32.8693008422852,63.2136001586914,-0.113085746182933,15.2,0.4
111,79.7829268292683,86.2859878540039,96.35917,27.2147719464791,2.288931138537491,24.0820280840198,34.4249992370605,79.242301940918,53.5928001403809,32.7335014343262,63.0745010375977,-0.869306082989032,14.7,0.3
112,79.6804878048781,83.7125091552734,94.63375,28.3954113101295,2.3670116059135227,24.5244611763529,33.798999786377,78.2973022460938,53.6781997680664,31.926399230957,63.7697982788086,-1.56315788426269,14.6,0.3
113,80.0341463414634,84.1692504882813,93.46701,29.1721601233921,2.4506685661904783,23.028647559058,32.5810012817383,77.5740966796875,53.4728012084961,31.1490001678467,62.5859985351563,-3.85937943757778,14.6,0.3
114,80.1829268292683,89.3075485229492,92.69016,29.2946441332147,2.3487904530510386,23.7326034772805,32.3720016479492,76.9167022705078,54.0699005126953,32.8366012573242,62.9402008056641,-3.0274266047732,15.3,0.4
115,80.5853658536585,92.2060394287109,92.56495,30.5506748184286,2.340572783094722,24.1985084892908,31.5909996032715,76.0338973999023,53.198600769043,31.415599822998,61.4477005004883,-3.71162104839829,15.3,0.5
